 (1X, 3F6.1, 12X, 6E11.3)
         207          18   10.00000    
           1   5.000000      0.0000000E+00
  230.0  90.0 180.0  95.0   0.0 -0.340E-13 -0.205E-06 -0.985E+00 -0.582E-07  0.174E+00  0.985E+00
  140.4  82.9   7.1 -85.0  10.0  0.302E-01  0.149E-01 -0.985E+00  0.170E+00  0.171E+00  0.955E+00
  141.8  76.0  14.4 -85.0  20.0  0.117E+00  0.280E-01 -0.986E+00  0.320E+00  0.163E+00  0.869E+00
  144.1  69.3  22.2 -85.0  30.0  0.250E+00  0.377E-01 -0.987E+00  0.431E+00  0.152E+00  0.737E+00
  147.5  63.0  30.7 -85.0  40.0  0.413E+00  0.429E-01 -0.988E+00  0.491E+00  0.138E+00  0.575E+00
  152.3  57.2  40.1 -85.0  50.0  0.587E+00  0.429E-01 -0.989E+00  0.491E+00  0.123E+00  0.402E+00
  158.4  52.2  50.8 -85.0  60.0  0.750E+00  0.377E-01 -0.991E+00  0.431E+00  0.109E+00  0.241E+00
  166.1  48.4  62.8 -85.0  70.0  0.883E+00  0.280E-01 -0.992E+00  0.320E+00  0.970E-01  0.108E+00
  175.1  45.9  76.0 -85.0  80.0  0.970E+00  0.149E-01 -0.992E+00  0.170E+00  0.894E-01  0.223E-01
  185.0  45.0  90.0 -85.0  90.0  0.100E+01  0.000E+00 -0.992E+00 -0.115E-06  0.868E-01 -0.760E-02
  194.9  45.9 104.0  95.0  80.0  0.970E+00 -0.149E-01 -0.992E+00 -0.170E+00  0.894E-01  0.223E-01
  203.9  48.4 117.2  95.0  70.0  0.883E+00 -0.280E-01 -0.992E+00 -0.320E+00  0.970E-01  0.108E+00
  211.6  52.2 129.2  95.0  60.0  0.750E+00 -0.377E-01 -0.991E+00 -0.431E+00  0.109E+00  0.241E+00
  217.7  57.2 139.9  95.0  50.0  0.587E+00 -0.429E-01 -0.989E+00 -0.491E+00  0.123E+00  0.402E+00
  222.5  63.0 149.3  95.0  40.0  0.413E+00 -0.429E-01 -0.988E+00 -0.491E+00  0.138E+00  0.575E+00
  225.9  69.3 157.8  95.0  30.0  0.250E+00 -0.377E-01 -0.987E+00 -0.431E+00  0.152E+00  0.737E+00
  228.2  76.0 165.6  95.0  20.0  0.117E+00 -0.280E-01 -0.986E+00 -0.320E+00  0.163E+00  0.869E+00
  229.6  82.9 172.9  95.0  10.0  0.302E-01 -0.149E-01 -0.985E+00 -0.170E+00  0.171E+00  0.955E+00
           2   15.00000      0.0000000E+00
  240.0  90.0 180.0 105.0   0.0 -0.340E-13 -0.212E-06 -0.866E+00 -0.216E-07  0.500E+00  0.866E+00
  150.4  82.9   7.1 -75.0  10.0  0.302E-01  0.443E-01 -0.868E+00  0.165E+00  0.492E+00  0.838E+00
  151.8  76.0  14.4 -75.0  20.0  0.117E+00  0.832E-01 -0.874E+00  0.310E+00  0.471E+00  0.757E+00
  154.1  69.3  22.2 -75.0  30.0  0.250E+00  0.112E+00 -0.883E+00  0.418E+00  0.438E+00  0.633E+00
  157.5  63.0  30.7 -75.0  40.0  0.413E+00  0.127E+00 -0.894E+00  0.476E+00  0.397E+00  0.481E+00
  162.3  57.2  40.1 -75.0  50.0  0.587E+00  0.127E+00 -0.905E+00  0.476E+00  0.353E+00  0.319E+00
  168.4  52.2  50.8 -75.0  60.0  0.750E+00  0.112E+00 -0.916E+00  0.418E+00  0.312E+00  0.166E+00
  176.1  48.4  62.8 -75.0  70.0  0.883E+00  0.832E-01 -0.925E+00  0.310E+00  0.279E+00  0.422E-01
  185.1  45.9  76.0 -75.0  80.0  0.970E+00  0.443E-01 -0.931E+00  0.165E+00  0.258E+00 -0.389E-01
  195.0  45.0  90.0 -75.0  90.0  0.100E+01 -0.298E-07 -0.933E+00 -0.119E-06  0.250E+00 -0.670E-01
  204.9  45.9 104.0 105.0  80.0  0.970E+00 -0.443E-01 -0.931E+00 -0.165E+00  0.258E+00 -0.389E-01
  213.9  48.4 117.2 105.0  70.0  0.883E+00 -0.832E-01 -0.925E+00 -0.310E+00  0.279E+00  0.422E-01
  221.6  52.2 129.2 105.0  60.0  0.750E+00 -0.112E+00 -0.916E+00 -0.418E+00  0.313E+00  0.166E+00
  227.7  57.2 139.9 105.0  50.0  0.587E+00 -0.127E+00 -0.905E+00 -0.476E+00  0.353E+00  0.319E+00
  232.5  63.0 149.3 105.0  40.0  0.413E+00 -0.127E+00 -0.894E+00 -0.476E+00  0.397E+00  0.481E+00
  235.9  69.3 157.8 105.0  30.0  0.250E+00 -0.112E+00 -0.883E+00 -0.418E+00  0.438E+00  0.633E+00
  238.2  76.0 165.6 105.0  20.0  0.117E+00 -0.832E-01 -0.874E+00 -0.310E+00  0.471E+00  0.757E+00
  239.6  82.9 172.9 105.0  10.0  0.302E-01 -0.443E-01 -0.868E+00 -0.165E+00  0.492E+00  0.838E+00
           3   25.00000      0.0000000E+00
  250.0  90.0 180.0 115.0   0.0 -0.340E-13 -0.213E-06 -0.643E+00  0.156E-07  0.766E+00  0.643E+00
  160.4  82.9   7.1 -65.0  10.0  0.302E-01  0.723E-01 -0.648E+00  0.155E+00  0.754E+00  0.618E+00
  161.8  76.0  14.4 -65.0  20.0  0.117E+00  0.136E+00 -0.664E+00  0.291E+00  0.721E+00  0.547E+00
  164.1  69.3  22.2 -65.0  30.0  0.250E+00  0.183E+00 -0.687E+00  0.392E+00  0.670E+00  0.437E+00
  167.5  63.0  30.7 -65.0  40.0  0.413E+00  0.208E+00 -0.717E+00  0.446E+00  0.608E+00  0.303E+00
